"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test with steps","Getting All Categories Info","SUCCESS","2022-06-07T21:11:25.338+01:00[Europe/London]","0.0","7.2"
"Product CURD test","Getting All The Products","SUCCESS","2022-06-07T21:11:25.338+01:00[Europe/London]","0.0","6.75"
"Stores CRUD test with steps","Getting All The Store","SUCCESS","2022-06-07T21:11:25.338+01:00[Europe/London]","0.0","7.43"
"Product CURD test","Getting The Products By Id","FAILURE","2022-06-07T21:11:32.110+01:00[Europe/London]","0.0","0.11"
"Product CURD test","Create Product","SUCCESS","2022-06-07T21:11:32.238+01:00[Europe/London]","0.0","1.49"
"Categories CRUD test with steps","Creating A New Category","FAILURE","2022-06-07T21:11:32.589+01:00[Europe/London]","0.0","0.78"
"Stores CRUD test with steps","Creating  The Store","FAILURE","2022-06-07T21:11:32.799+01:00[Europe/London]","0.0","0.89"
"Categories CRUD test with steps","Getting All Categories Info By Id","ERROR","2022-06-07T21:11:33.385+01:00[Europe/London]","0.0","0.04"
"Categories CRUD test with steps","Update Categories Info By Id","ERROR","2022-06-07T21:11:33.585+01:00[Europe/London]","0.0","0.51"
"Stores CRUD test with steps","GettingThe Store By ID","FAILURE","2022-06-07T21:11:33.695+01:00[Europe/London]","0.0","0.29"
"Product CURD test","Verify if Product is updated","SUCCESS","2022-06-07T21:11:33.727+01:00[Europe/London]","0.0","0.11"
"Product CURD test","This will delete and verify if product is deleted","SUCCESS","2022-06-07T21:11:33.841+01:00[Europe/London]","0.0","0.22"
"Stores CRUD test with steps","Updating The Store By Id","ERROR","2022-06-07T21:11:33.985+01:00[Europe/London]","0.0","0.03"
"Categories CRUD test with steps","Delete Category and verify if the Category is deleted","ERROR","2022-06-07T21:11:34.091+01:00[Europe/London]","0.0","0.06"
"Stores CRUD test with steps","Deleting The Store","ERROR","2022-06-07T21:11:34.357+01:00[Europe/London]","0.0","0.01"
"Services CRUD test with steps","Getting All The Services","SUCCESS","2022-06-07T21:11:35.637+01:00[Europe/London]","0.0","0.09"
"Services CRUD test with steps","Creating A New Service","FAILURE","2022-06-07T21:11:35.744+01:00[Europe/London]","0.0","0.05"
"Services CRUD test with steps","Getting The Services By Id","FAILURE","2022-06-07T21:11:35.791+01:00[Europe/London]","0.0","0.07"
"Services CRUD test with steps","Updating The Services By Id","ERROR","2022-06-07T21:11:35.856+01:00[Europe/London]","0.0","0.03"
"Services CRUD test with steps","Deleting The Services By Id","FAILURE","2022-06-07T21:11:35.887+01:00[Europe/London]","0.0","0.04"
"Utilities CRUD test with steps","Getting the Version","SUCCESS","2022-06-07T21:11:36.024+01:00[Europe/London]","0.0","0.06"
"Utilities CRUD test with steps","Getting the HealthCheck","SUCCESS","2022-06-07T21:11:36.087+01:00[Europe/London]","0.0","0.15"
